"GroupId";"AvgLikes";"Followers"
"57536014";2684;377346
"66036248";123;25182
"34215577";22908;3625269
"44923614";6;2592
"97015440";301;81140
"28429027";48;612754
"91933860";169;105223
"46075038";118;130730
"84802675";273;103285
"51425413";335;458669
"29534144";6089;1465456
"48760195";9002;923004
"55435278";35;11891
"49439086";8223;2769877
"125681236";1270;88977
"55427242";195;70801
"57640721";216;43773
